WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
ETV5	"genistein,0.84412"	"tolazamide,0.83885"	"ebselen,0.8288"	"BRD-K05649647,0.82495"	"ARG-CSC-91,0.80806"	"STK-064652,0.80653"	"hydrocortisone,0.80177"	"RG-108,0.80112"	"HO-013,0.79191"	"BRD-K91663486,0.78979"	"BRD-K46681113,0.77943"	"BRD-K85275009,0.77927"	"crizotinib,0.77586"	"diclofenac,0.7743"	"UK-356618,0.77192"	"BRD-A77577770,0.77192"	"SID-26681509,0.75863"	"alvespimycin,0.75376"	"BRD-K00859238,0.75329"	"elesclomol,0.74439"
FOXA3	"dactinomycin,0.98944"	"selumetinib,0.96669"	"triptolide,0.93567"	"daunorubicin,0.93525"	"idarubicin,0.93521"	"oxetane,0.93314"	"BRD-K06217810,0.92927"	"midostaurin,0.92864"	"fludarabine,0.92145"	"BMS-536924,0.92098"	"HSP90-inhibitor,0.92082"	"pirarubicin,0.91733"	"BRD-K40329609,0.91258"	"5-iodotubercidin,0.91199"	"CGP-60474,0.91059"	"olmesartan,0.90994"	"daunorubicin,0.90942"	"pidorubicine,0.90833"	"staurosporine,0.90761"	"alvocidib,0.9054"
GABPB2	"MST-312,0.75345"	"avicin-d,0.7391"	"oligomycin-a,0.73834"	"MW-A1-12,0.73061"	"BRD-K16410418,0.72103"	"QS-11,0.72045"	"resveratrol,0.70345"	"penfluridol,0.69857"	"sappanone-a,0.69067"	"quiflapon,0.68799"	"evodiamine,0.67534"	"phenoxybenzamine,0.67267"	"ingenol,0.66706"	"XL-147,0.66703"	"16,16-dimethylprostaglandin-e2,0.66607"	"calcitriol,0.6591"	"dexketoprofen,0.65851"	"mebendazole,0.6365"	"MK-5108,0.63395"	"BRD-K57064803,0.62738"
GATA2	"MD-II-008-P,0.91805"	"NCH-51,0.90325"	"THM-I-94,0.88875"	"AS-605240,0.88622"	"resveratrol,0.88491"	"mocetinostat,0.88337"	"dacinostat,0.85544"	"importazole,0.85502"	"MD-049,0.85479"	"MK-2206,0.85074"	"dexamethasone,0.84701"	"tetramethylsilane,0.84644"	"ingenol,0.84177"	"BRD-K35832492,0.8394"	"trichostatin-a,0.83488"	"DY-131,0.82635"	"MK-5108,0.82282"	"berbamine,0.82246"	"ZM-336372,0.81988"	"KUC111774N,0.81891"
GCLM	"oxetane,0.97519"	"avicin-g,0.93314"	"BRD-K06765193,0.92145"	"avicin-d,0.90881"	"BRD-K68548958,0.89467"	"BRD-K35716340,0.88275"	"KUC111774N,0.82703"	"BRD-K84924563,0.82661"	"acyclovir,0.8087"	"dactinomycin,0.79797"	"BRD-K21064560,0.7971"	"AKT-inhibitor-IV,0.78814"	"clopidogrel,0.77819"	"W-7,0.7615"	"KO-143,0.75185"	"pregnenolone,0.73414"	"bortezomib,0.72508"	"5-iodotubercidin,0.72451"	"minoxidil,0.72253"	"atomoxetine,0.71811"
GDI1	"pepstatin,0.87113"	"cyclosporin-a,0.85602"	"NNC-55-0396,0.82475"	"oxetane,0.82007"	"BRD-K05402890,0.81949"	"niclosamide,0.8193"	"TW-37,0.80846"	"methylene-blue,0.80653"	"CGK-733,0.80178"	"phorbol-12-myristate-13-acetate,0.79801"	"perhexiline,0.79579"	"CCCP,0.78843"	"COL-3,0.78433"	"nocodazole,0.77781"	"RS-17053,0.77509"	"ingenol,0.77205"	"RO-28-1675,0.77061"	"K784-3188,0.76675"	"PAC-1,0.75503"	"SID-26681509,0.75477"
GPRC5B	"oxetane,0.93921"	"BRD-U86222656,0.90867"	"K784-3188,0.89991"	"BRD-K62459624,0.89054"	"fludarabine,0.89029"	"tigecycline,0.88971"	"dactinomycin,0.88809"	"alvocidib,0.88414"	"staurosporine,0.88299"	"staurosporine,0.88192"	"oxindole-I,0.88011"	"SU-11652,0.87356"	"avicin-g,0.87345"	"BRD-A37735495,0.86922"	"BI-78D3,0.86708"	"selamectin,0.86689"	"AS-601245,0.8594"	"fasudil,0.85903"	"PP-110,0.85828"	"remacemide,0.85805"
IGF2	"rottlerin,0.92656"	"lonidamine,0.91292"	"bithionol,0.90689"	"DG-041,0.89722"	"quiflapon,0.89702"	"cerulenin,0.88992"	"SA-425500,0.88199"	"RO-28-1675,0.87619"	"tyrphostin-AG-1478,0.87424"	"CCCP,0.85513"	"BO2-inhibits-RAD51,0.84765"	"erastin,0.83811"	"BRD-K96167523,0.83242"	"tosedostat,0.82935"	"PD-198306,0.82929"	"ingenol,0.82723"	"rucaparib,0.82327"	"ouabain,0.82236"	"BRD-K18163752,0.82198"	"indirubin,0.81387"
IRF2	"selamectin,0.91618"	"tetrindole,0.91504"	"ispinesib,0.90813"	"RS-17053,0.89682"	"perhexiline,0.89411"	"BRD-K92317137,0.8812"	"RAN-07,0.88012"	"LFM-A13,0.87464"	"BRD-K06217810,0.87276"	"BRD-K19166598,0.86734"	"cucurbitacin-i,0.86607"	"terfenadine,0.86509"	"niclosamide,0.85859"	"BRD-K55722623,0.85771"	"emetine,0.85516"	"erastin,0.85396"	"BRD-K21773564,0.85273"	"MD-II-008-P,0.85182"	"niguldipine,0.85167"	"avicin-g,0.84606"
LANCL1	"BRD-K35716340,0.94348"	"BRD-A11095214,0.9322"	"BRD-K84924563,0.90686"	"naltrexone,0.90583"	"BRD-K85275009,0.88973"	"U-0126,0.88392"	"fludrocortisone,0.87186"	"staurosporine,0.8587"	"HO-013,0.85704"	"hydrocortisone,0.8351"	"genistein,0.82798"	"EI-231,0.81641"	"fluspirilene,0.8138"	"BRD-K81814927,0.80237"	"ON-01910,0.79881"	"XMD-16144,0.7826"	"benzylpenicillin,0.78149"	"etodolac,0.77903"	"BRD-K64106162,0.77599"	"BRD-K18726304,0.77555"
LHX4	"BRD-K28366633,0.9422"	"7b-cis,0.92989"	"BRD-K58618158,0.91636"	"NTNCB,0.90764"	"penfluridol,0.9074"	"EMF-sumo1-11,0.90171"	"BRD-K05331696,0.90116"	"MK-2206,0.90065"	"thiothixene,0.90009"	"BRD-K18724229,0.89506"	"BRD-K00910650,0.88515"	"NCH-51,0.88443"	"BRD-A49848186,0.87967"	"metergoline,0.87296"	"BRD-K48803730,0.86957"	"CGP-71683,0.86695"	"EMF-sumo1-39,0.86536"	"KB-R7943,0.86407"	"BRD-K68548958,0.86359"	"suloctidil,0.86283"
MAT1A	"remacemide,0.87228"	"fludrocortisone,0.85837"	"KUC111774N,0.84343"	"hydrocortisone,0.84176"	"etodolac,0.83599"	"erismodegib,0.80808"	"XMD-16144,0.80573"	"BRD-K03006541,0.79264"	"fluspirilene,0.79201"	"BRD-K91663486,0.78434"	"calcitriol,0.78328"	"EI-247,0.77074"	"BRD-K81814927,0.77072"	"AKT-inhibitor-1-2,0.76548"	"BRD-K25150581,0.75554"	"dipropyl-dopamine,0.75368"	"lovastatin,0.74625"	"BRD-A11095214,0.73429"	"BRD-K85275009,0.73394"	"BRD-K05649647,0.73369"
MECP2	"TPCA-1,0.96644"	"LFM-A13,0.95289"	"etazolate,0.94299"	"everolimus,0.91681"	"BMS-641988,0.9138"	"resveratrol,0.89298"	"brefeldin-a,0.89232"	"CHEMBL-1222381,0.88302"	"PD-0325901,0.87722"	"fexofenadine,0.876"	"BRD-K30351863,0.87404"	"BRD-K03829970,0.87313"	"oleoylethanolamide,0.87162"	"BRD-K40329609,0.86537"	"mitomycin-c,0.86434"	"AS-703026,0.86037"	"necrostatin-1,0.85269"	"cyclopentene,0.85161"	"erastin,0.84962"	"ALW-II-49-7,0.8481"
MSH2	"BRD-K98624380,0.96516"	"MK-212,0.94213"	"pepstatin,0.93614"	"BRD-K49094915,0.93396"	"U-0126,0.92421"	"BRD-K55896799,0.92096"	"KU-C104248,0.91835"	"BRD-K96167523,0.91737"	"BRD-K64024097,0.91224"	"BRD-K67742177,0.90092"	"tyrphostin,0.88918"	"GW-4064,0.88744"	"BRD-K31856043,0.88729"	"CAY-10585,0.88068"	"BRD-K73304092,0.87856"	"BRD-K89224880,0.87846"	"BRD-K90999434,0.87668"	"BRD-K45205755,0.87243"	"BRD-K65242613,0.87142"	"valdecoxib,0.86721"
NDUFB5	"KUC111774N,0.96977"	"avicin-d,0.95578"	"oxetane,0.94317"	"COL-3,0.9225"	"acyclovir,0.9168"	"clopidogrel,0.91308"	"AKT-inhibitor-IV,0.89347"	"BRD-K35716340,0.88639"	"COT-10b,0.87707"	"mevastatin,0.87477"	"BRD-K14749055,0.86983"	"carbidopa,0.86409"	"celastrol,0.86366"	"avicin-g,0.85852"	"thiothixene,0.84238"	"BRD-K38634661,0.83771"	"quiflapon,0.83398"	"niclosamide,0.83287"	"tretinoin,0.82344"	"SU-11652,0.81766"
NFYB	"remacemide,0.91275"	"BRD-K23673040,0.83005"	"fluspirilene,0.8222"	"PSH-028,0.80868"	"BRD-A09719808,0.78426"	"NVP-TAE684,0.77412"	"BMS-299897,0.77115"	"parthenolide,0.75882"	"PF-04217903,0.75721"	"aminopurvalanol-a,0.75056"	"cercosporin,0.7375"	"mitoxantrone,0.73479"	"BRD-K85275009,0.72265"	"mebendazole,0.71925"	"cucurbitacin-i,0.70828"	"PJ-34,0.70769"	"BRD-K84924563,0.70658"	"vindesine,0.7046"	"SID-26681509,0.70159"	"SB-218078,0.69706"
NR1H3	"diclofenac,0.91848"	"sulforaphane,0.91034"	"nicardipine,0.83736"	"BRD-A99518825,0.8333"	"cyclopentene,0.83119"	"BRD-K64024097,0.82362"	"raloxifene,0.80284"	"BRD-K61105081,0.78996"	"PT-630,0.78948"	"XMD-16144,0.7781"	"clonidine,0.77594"	"XAV-939,0.76521"	"ARG-CSC-91,0.76105"	"verapamil,0.76086"	"maackiain,0.76028"	"tamoxifen,0.7576"	"diphenyleneiodonium,0.74512"	"lenalidomide,0.74143"	"salsolinol,0.73988"	"BRD-K98948170,0.73514"
OSR2	"HSP90-inhibitor,0.95818"	"merck-ketone,0.94335"	"trichostatin-a,0.92997"	"NVP-AUY922,0.92854"	"tanespimycin,0.92287"	"geldanamycin,0.9198"	"vorinostat,0.90712"	"PP-1,0.90085"	"THM-I-94,0.89656"	"panobinostat,0.88222"	"dacinostat,0.88044"	"camptothecin,0.87608"	"ellipticine,0.87559"	"KM-00927,0.86789"	"scriptaid,0.86678"	"wortmannin,0.86398"	"MW-A1-12,0.85758"	"SN-38,0.85544"	"apicidin,0.85496"	"SA-1447005,0.85188"
OTX1	"NCH-51,0.91536"	"CHEMBL-1222381,0.90328"	"doxorubicin,0.90275"	"midostaurin,0.89457"	"trichostatin-a,0.8912"	"trichostatin-a,0.88114"	"H-89,0.87544"	"BIBU-1361,0.8719"	"MK-2206,0.86581"	"neratinib,0.85545"	"BIBX-1382,0.85212"	"ivermectin,0.85127"	"THM-I-94,0.8499"	"BRD-K58618158,0.84736"	"SB-590885,0.84703"	"dacinostat,0.84255"	"5-nonyloxytryptamine,0.83601"	"merck-ketone,0.83583"	"scriptaid,0.82991"	"BRD-K40329609,0.82501"
OTX2	"etoposide,0.96299"	"amsacrine,0.94803"	"NCH-51,0.94541"	"camptothecin,0.93386"	"teniposide,0.92834"	"tubastatin-a,0.92295"	"BRD-K80169513,0.91855"	"selumetinib,0.91549"	"idarubicin,0.91444"	"NTNCB,0.91433"	"midostaurin,0.90973"	"perphenazine,0.90963"	"RO-90-7501,0.90685"	"BRD-K03829970,0.90592"	"THM-I-94,0.90241"	"sulpiride,0.89957"	"T-98475,0.89931"	"staurosporine,0.89806"	"etoposide,0.8959"	"trichostatin-a,0.8958"
P2RY6	"reserpine,0.85395"	"NFKB-activation-inhibitor-II,0.81442"	"selamectin,0.81031"	"ingenol,0.78957"	"BCL2-inhibitor,0.78954"	"BRD-K19624190,0.78453"	"BRD-K21064560,0.78383"	"BRD-K05331696,0.78358"	"brazilin,0.78022"	"hyperforin,0.77831"	"obatoclax,0.77653"	"parthenolide,0.75922"	"BRD-K22210218,0.7531"	"BRD-K21773564,0.74497"	"BRD-K19166598,0.74373"	"kinetin-riboside,0.73374"	"QS-11,0.72931"	"EMF-bca1-16,0.72633"	"BRD-K18163752,0.71825"	"mebendazole,0.70646"
PA2G4	"fluoropyruvate,0.90206"	"PT-630,0.8972"	"sulforaphane,0.84024"	"BRD-K53638321,0.8207"	"BRD-K43913647,0.78586"	"thiotepa,0.77848"	"verapamil,0.77478"	"BRD-K81314178,0.76358"	"AC-55649,0.76054"	"orteronel,0.75713"	"BRD-K23149109,0.75623"	"kinetin-riboside,0.74991"	"BRD-K21773564,0.73079"	"BRD-K77480336,0.72628"	"BRD-K72451865,0.72452"	"rilmenidine,0.71412"	"MST-312,0.71304"	"diethylstilbestrol,0.69943"	"oligomycin-a,0.69575"	"dexketoprofen,0.6935"
PHF13	"BRD-K58618158,0.96701"	"flavokavain-b,0.95872"	"menadione,0.94582"	"amsacrine,0.9456"	"QS-11,0.94001"	"SA-792709,0.9368"	"BRD-K89329876,0.9353"	"YK-4279,0.93258"	"cercosporin,0.93049"	"PD-198306,0.92992"	"BRD-K04779531,0.92594"	"BRD-K55149044,0.92258"	"scoulerine,0.91941"	"BRD-K28366633,0.91843"	"LY-2183240,0.91841"	"AG-879,0.91828"	"isoliquiritigenin,0.91725"	"mebendazole,0.91282"	"vinblastine,0.91118"	"nocodazole,0.90999"
PIPOX	"BRD-K04156788,0.83792"	"pyrrolidine-dithiocarbamate,0.81534"	"tretinoin,0.80048"	"olaparib,0.78758"	"MW-A1-12,0.78479"	"3,3'-diindolylmethane,0.73844"	"HG-5-88-01,0.73037"	"BRD-K62466453,0.73002"	"BRD-K74840245,0.71037"	"gemcitabine,0.69384"	"BRD-K30443205,0.68334"	"ispinesib,0.67768"	"BRD-A41114263,0.67299"	"tyrphostin-AG-126,0.65866"	"erastin,0.65778"	"ouabain,0.65424"	"BRD-A09984573,0.64501"	"BRD-K98948170,0.64362"	"bisacodyl,0.63482"	"BRD-K80786583,0.6225"
PUF60	"NSC-632839,0.94703"	"cucurbitacin-i,0.93148"	"selamectin,0.92973"	"arachidonyl-trifluoro-methane,0.92176"	"manumycin-a,0.90478"	"penfluridol,0.89576"	"NSC-632839,0.89475"	"BRD-K21773564,0.88377"	"EMF-sumo1-11,0.87771"	"HSP90-inhibitor,0.87484"	"BRD-K92317137,0.87261"	"BRD-K77547920,0.8707"	"BRD-K05331696,0.87024"	"MG-132,0.8679"	"MLN-2238,0.86128"	"15-delta-prostaglandin-j2,0.85155"	"oxetane,0.85091"	"RO-28-1675,0.84466"	"COL-3,0.82945"	"EMF-bca1-16,0.82893"
RASD1	"BRD-K05452595,0.96546"	"BRD-K15107389,0.94158"	"BRD-A41114263,0.93665"	"BRD-A09984573,0.93303"	"loxapine,0.93177"	"BRD-K87426499,0.92726"	"chlortalidone,0.92659"	"orantinib,0.92326"	"fluoropyruvate,0.91729"	"BRD-K14788918,0.91549"	"n-(3-acetamidophenyl)-3-chlorobenzamide,0.9089"	"BRD-K96167523,0.90604"	"cyanoquinoline-11,0.90481"	"BRD-K23149109,0.90281"	"sitagliptin,0.89863"	"gliquidone,0.89565"	"HG-5-88-01,0.89406"	"pindolol,0.8893"	"cinalukast,0.88846"	"zileuton,0.88814"
RBMX	"tretinoin,0.93927"	"CT-200783,0.85695"	"MW-A1-12,0.80911"	"parthenolide,0.80838"	"manumycin-a,0.77841"	"piperlongumine,0.75738"	"GW-843682X,0.75423"	"scriptaid,0.73894"	"HSP90-inhibitor,0.7304"	"MK-2206,0.71195"	"ouabain,0.70556"	"BRD-K08463963,0.69804"	"MD-II-008-P,0.69515"	"avicin-g,0.69192"	"BRD-A59145032,0.68568"	"NVP-AUY922,0.68074"	"brefeldin-a,0.67919"	"H-9,0.67079"	"sulforaphane,0.66559"	"canertinib,0.66532"
RNF11	"avicin-g,0.9469"	"RS-17053,0.94668"	"CCCP,0.9432"	"COT-10b,0.9421"	"avicin-d,0.93811"	"BRD-A18725729,0.9332"	"perhexiline,0.93257"	"niguldipine,0.93177"	"COL-3,0.91938"	"BRD-K19499941,0.91803"	"KUC111774N,0.9178"	"BRD-K62459624,0.91706"	"malonoben,0.9117"	"NNC-55-0396,0.91111"	"neratinib,0.91099"	"penfluridol,0.91049"	"DG-041,0.90954"	"thiothixene,0.90817"	"BRD-K78062244,0.90669"	"VU-0418946-1,0.90518"
SET	"camptothecin,0.89045"	"SB-218078,0.85988"	"JAK3-inhibitor-VI,0.85625"	"T-5345967,0.85345"	"pifithrin-alpha,0.85124"	"THM-I-94,0.84998"	"helveticoside,0.84682"	"RO-28-1675,0.81115"	"trichostatin-a,0.80977"	"BRD-K04779531,0.80816"	"manumycin-a,0.79901"	"pyrvinium-pamoate,0.78689"	"avicin-d,0.78153"	"scriptaid,0.77104"	"menadione,0.76903"	"antimycin-a,0.76523"	"importazole,0.76125"	"BRD-K07061353,0.75089"	"KI-8751,0.74892"	"amsacrine,0.74484"
SNRPA	"NSC-3852,0.98296"	"BRD-K06765193,0.96987"	"diphenyleneiodonium,0.96754"	"cerulenin,0.96608"	"BRD-K99530743,0.9611"	"BRD-K92317137,0.95447"	"CD-437,0.95362"	"VU-0410183-2,0.95276"	"15-delta-prostaglandin-j2,0.95105"	"CT-200783,0.95062"	"VU-0418939-2,0.95031"	"AG-592,0.94918"	"BRD-K66884694,0.94387"	"RS-I-002-6,0.94201"	"EMF-sumo1-39,0.94066"	"penfluridol,0.93999"	"VU-0418946-1,0.93623"	"BRD-K28366633,0.93347"	"BRD-K53932786,0.93301"	"arachidonyl-trifluoro-methane,0.93224"
SPDEF	"BRD-K21001652,0.93906"	"MST-312,0.91132"	"ingenol,0.90889"	"vinblastine,0.90312"	"BRD-K14027855,0.84037"	"CYT-997,0.83884"	"prostratin,0.83883"	"BRD-A47816767,0.82863"	"trichostatin-a,0.82295"	"BRD-K83694683,0.82176"	"WAY-170523,0.81976"	"BRD-K19724398,0.81262"	"amsacrine,0.81234"	"JAK3-inhibitor-VI,0.8098"	"trichostatin-a,0.80801"	"phorbol-12-myristate-13-acetate,0.80177"	"PAC-1,0.80058"	"ZM-336372,0.79719"	"SA-1478088,0.79518"	"dexamethasone,0.77934"
TADA3	"BRD-K23149109,0.91624"	"lasalocid,0.86128"	"fulvestrant,0.8315"	"prostaglandin-a1,0.7949"	"R-96544,0.79275"	"erastin,0.78298"	"orteronel,0.74863"	"etomoxir,0.7416"	"BRD-K81314178,0.73775"	"thiotepa,0.72884"	"sulforaphane,0.72794"	"VU-0415556-1,0.71892"	"estradiol,0.69771"	"afatinib,0.69507"	"resveratrol,0.69438"	"M2-PK-activator,0.69344"	"oligomycin-a,0.68501"	"KU-C104493,0.68147"	"T-98475,0.68136"	"BRD-K43913647,0.6785"
TLE1	"DG-041,0.97537"	"CGK-733,0.96484"	"SSR-69071,0.96165"	"BRD-K24156250,0.96144"	"7b-cis,0.96109"	"15-delta-prostaglandin-j2,0.9585"	"BRD-K60870698,0.95806"	"BRD-K44366801,0.95758"	"CGP-71683,0.95509"	"cucurbitacin-i,0.94979"	"RO-28-1675,0.9473"	"BRD-K92317137,0.94683"	"cerulenin,0.94578"	"CVF-SUMO-7,0.93753"	"BRD-K68313733,0.93527"	"CVF-SUMO-11,0.93376"	"sappanone-a,0.93216"	"BRD-K28366633,0.93042"	"arachidonyl-trifluoro-methane,0.9301"	"BRD-A26595446,0.92901"
TNFRSF10B	"AKT-inhibitor-IV,0.98391"	"oxetane,0.96928"	"SU-11652,0.96562"	"calyculin,0.96279"	"BRD-A09719808,0.96058"	"bortezomib,0.95978"	"CD-1530,0.95796"	"KUC111774N,0.95264"	"BRD-K58214070,0.95138"	"BRD-A36275421,0.95126"	"YM-155,0.94904"	"avicin-g,0.948"	"LDN-193189,0.94674"	"salermide,0.94622"	"avicin-d,0.94223"	"arachidonyl-trifluoro-methane,0.94103"	"BRD-A58924247,0.93915"	"heliomycin,0.9377"	"DG-041,0.93182"	"BRD-K56411643,0.93156"
UBE2E3	"verapamil,0.95942"	"vincristine,0.95448"	"BMS-641988,0.95343"	"AICA-ribonucleotide,0.92999"	"BL-050,0.92159"	"fluoropyruvate,0.92059"	"aminomethyltransferase,0.91645"	"STO-609,0.91066"	"BRD-K86456986,0.90812"	"SJ-172550,0.9061"	"FPL-64176,0.90555"	"AC-55649,0.90162"	"domperidone,0.89671"	"sunitinib,0.89572"	"dexketoprofen,0.89219"	"carbinoxamine,0.88813"	"BRD-U88878891,0.88709"	"BRD-A09984573,0.88474"	"ALW-II-49-7,0.8846"	"sulfafurazole,0.88403"
YAF2	"BRD-A06276885,0.89756"	"avrainvillamide-analog-4,0.82772"	"BRD-A59145032,0.79789"	"cucurbitacin-i,0.79313"	"ingenol,0.78905"	"BRD-K92317137,0.77858"	"BRD-A27640568,0.77127"	"7b-cis,0.75342"	"vincristine,0.74872"	"TL-HRAS-61,0.7476"	"CD-437,0.72759"	"cucurbitacin-i,0.72597"	"wortmannin,0.72574"	"cerulenin,0.72562"	"DG-041,0.71953"	"WR-216174,0.69104"	"manumycin-a,0.69041"	"avrainvillamide-analog-2,0.68626"	"isoliquiritigenin,0.68478"	"BMS-754807,0.67489"
ZNF747	"PD-0325901,0.84385"	"loperamide,0.83434"	"chlortalidone,0.81621"	"dacinostat,0.80508"	"parthenolide,0.77527"	"gossypol,0.76605"	"alvespimycin,0.7422"	"4,5-dianilinophthalimide,0.70514"	"bufalin,0.70408"	"cucurbitacin-i,0.69525"	"BRD-K05331696,0.69363"	"QL-XII-47,0.68754"	"lenalidomide,0.67666"	"BRD-K97534490,0.67579"	"BRD-K48950795,0.67384"	"BRD-K10649245,0.67302"	"H-9,0.6725"	"retinol,0.6689"	"brivanib,0.66337"	"dephostatin,0.66059"
ALG5	"thiothixene,0.95901"	"CGP-71683,0.95207"	"CCCP,0.94727"	"BRD-K86574132,0.93263"	"terfenadine,0.92427"	"niguldipine,0.92259"	"penfluridol,0.9184"	"IKK-2-inhibitor-V,0.91475"	"RS-17053,0.91351"	"niclosamide,0.90203"	"NTNCB,0.89981"	"SA-792728,0.89824"	"AG-592,0.89777"	"quiflapon,0.89743"	"ivermectin,0.89329"	"suloctidil,0.89128"	"BRD-U86222656,0.89086"	"malonoben,0.88995"	"KUC111774N,0.88817"	"triclosan,0.88403"
ASF1B	"KB-R7943,0.83009"	"SKF-86002,0.81753"	"TWS-119,0.81473"	"lovastatin,0.79249"	"BMS-536924,0.70032"	"sulconazole,0.68113"	"PP-1,0.67857"	"AZ-628,0.66227"	"niguldipine,0.6553"	"BRD-A36275421,0.6413"	"daunorubicin,0.63627"	"cerulenin,0.62919"	"indolophenanthridine,0.62791"	"salmeterol,0.62744"	"amsacrine,0.61915"	"BRD-K08438429,0.61624"	"BRD-K71265179,0.61282"	"PI-828,0.60927"	"BRD-K08307026,0.60679"	"MK-1775,0.60674"
ASGR2	"BRD-K61776140,0.91226"	"SID-26681509,0.81635"	"cyclopiazonic-acid,0.80458"	"BRD-K28366633,0.79434"	"BRD-K01834163,0.79113"	"brefeldin-a,0.7844"	"SKF-86002,0.77343"	"CD-437,0.77033"	"KUC111774N,0.76667"	"brefeldin-a,0.75953"	"CT-200783,0.75414"	"bortezomib,0.74558"	"lawsone,0.74442"	"BRD-A36275421,0.72901"	"cucurbitacin-i,0.72479"	"CGP-71683,0.72369"	"manumycin-a,0.71768"	"NVP-AUY922,0.71682"	"BRD-K78062244,0.71447"	"DL-PDMP,0.71326"
ATP6V0A1	"oxetane,0.93166"	"pifithrin-alpha,0.88165"	"staurosporine,0.881"	"cefixime,0.87955"	"tretinoin,0.85447"	"dactinomycin,0.80649"	"JNJ-7706621,0.80049"	"staurosporine,0.78385"	"pyroxamide,0.77279"	"SCH-58261,0.77165"	"avicin-g,0.75693"	"anagrelide,0.75592"	"tigecycline,0.75484"	"AZD-7762,0.73547"	"SKF-81297,0.73117"	"BML-259,0.72235"	"BRD-K84924563,0.72165"	"AMG-9810,0.72039"	"AT-7519,0.72029"	"pidorubicine,0.718"
CASP3	"CGP-52432,0.88569"	"androstenedione,0.87551"	"thiotepa,0.84184"	"zileuton,0.83405"	"danazol,0.83171"	"flecainide,0.83071"	"fluoropyruvate,0.82494"	"AC-55649,0.82043"	"PT-630,0.80691"	"BRD-A09984573,0.80608"	"3,3'-diindolylmethane,0.80233"	"BRD-K58618158,0.80073"	"tyrphostin-AG-494,0.79779"	"BRD-A13346522,0.7951"	"mefenamic-acid,0.7943"	"ABT-751,0.7895"	"quinidine,0.78783"	"AR-C133057XX,0.78661"	"KB-R7943,0.78649"	"olaparib,0.7823"
CXADR	"PJ-34,0.83115"	"pifithrin-mu,0.79968"	"BML-259,0.74501"	"aloisine,0.72035"	"BRD-A16820783,0.71194"	"mitoxantrone,0.7069"	"tretinoin,0.70456"	"MW-A1-14,0.70014"	"EMF-bca1-57,0.69824"	"CHEMBL-1222381,0.69258"	"SB-218078,0.6814"	"BRD-K58618158,0.66969"	"auranofin,0.66862"	"BRD-K16940042,0.66616"	"LFM-A13,0.66517"	"camptothecin,0.66266"	"hydrocortisone,0.64959"	"calmidazolium,0.64764"	"MW-A1-12,0.64031"	"gossypol,0.639"
FAS	"BRD-K67742177,0.9742"	"mosapride,0.93826"	"SU-11274,0.9315"	"BRD-K64106162,0.92687"	"KU-C104248,0.91717"	"pepstatin,0.91049"	"BRD-K64024097,0.90659"	"BRD-K49094915,0.89711"	"mepireserpate,0.8939"	"valdecoxib,0.87683"	"MK-212,0.86818"	"GDC-0879,0.86582"	"BRD-K42419294,0.85323"	"BRD-K62818989,0.85139"	"BRD-K51377689,0.84955"	"BRD-K90999434,0.84855"	"TW-37,0.84649"	"gemcitabine,0.84376"	"BRD-K57064803,0.8424"	"BRD-K80786583,0.8275"
FGG	"elesclomol,0.86346"	"quizartinib,0.83875"	"IKK-inhibitor-X,0.82655"	"alvespimycin,0.81334"	"curcumin,0.81245"	"quinoclamine,0.80267"	"bis-tyrphostin,0.78981"	"SA-792574,0.78242"	"trequinsin,0.78242"	"mepacrine,0.77401"	"ON-01910,0.75882"	"pifithrin-mu,0.74789"	"salsolinol,0.72876"	"parbendazole,0.72848"	"BRD-K85275009,0.71693"	"calyculin,0.71373"	"oxetane,0.70584"	"gemcitabine,0.70519"	"RS-I-002-6,0.69099"	"ebselen,0.68276"
GATA3	"CD-437,0.91636"	"MD-II-008-P,0.90911"	"CT-200783,0.90053"	"MLN-4924,0.90036"	"quinoclamine,0.89481"	"BRD-K05331696,0.88901"	"piperlongumine,0.88831"	"tosedostat,0.88727"	"BRD-A09719808,0.88618"	"PX-12,0.88468"	"BRD-K89224880,0.8757"	"THM-I-94,0.87272"	"KF-38789,0.87166"	"BRD-K28366633,0.86608"	"BRD-K00910650,0.8562"	"trichostatin-a,0.85037"	"importazole,0.84991"	"cucurbitacin-i,0.84756"	"SN-38,0.8468"	"BRD-K82732294,0.84443"
